S.No,State,Locality,Directions,Assistance ,No.of Slots
22,Arizona,Phoenix AZ Tesla Supercharger, Phoenix AZ ,,
23,Arizona,Phoenix AZ - Agua Fria Freeway Supercharger, 2805 Agua Fria Fwy Phoenix 85027-3938, Roadside Assistance: (877) 798-3752,16
24,Arizona,Phoenix AZ - East Camelback Road Supercharger, 2502 East Camelback Road Phoenix 85016-4254, Roadside Assistance: (877) 798-3752,12
25,Arizona,Quartzsite AZ Supercharger, 1451 West Main St Quartzsite AZ 85346, Roadside Assistance: (877) 798-3752,8
26,Arizona,Scottsdale AZ - N. Scottsdale Road Supercharger, 15059 N. Scottsdale Rd Scottsdale AZ 85254-2421, Roadside Assistance: (877) 798-3752,16
27,Arizona,Sedona AZ Supercharger, 7000 AZ-179 Sedona AZ 86351, Roadside Assistance: (877) 798-3752,14
28,Arizona,Tucson AZ - East Skyline Drive Supercharger, 2905 East Skyline Drive Tucson AZ 85718, Roadside Assistance: (877) 798-3752,10
29,Arizona,Tucson AZ Supercharger, 9255 S Rita Rd Tucson AZ 85747, Roadside Assistance: (877) 798-3752,10
30,Arizona,Wickenburg AZ Supercharger, 155 N Tegner Wickenburg AZ 85390, Roadside Assistance: (877) 798-3752,6
31,Arizona,Willcox AZ Supercharger, 1251 Virginia Avenue Willcox 85643-1022, Roadside Assistance: (877) 798-3752,8
32,Arizona,Yuma AZ Supercharger, 310 N Madison Ave Yuma AZ 85364, Roadside Assistance: (877) 798-3752,8
33,Arkansas,Arkadelphia AR Tesla Supercharger, Arkadelphia AR ,,
34,Arkansas,Bentonville AR Tesla Supercharger ,Bentonville AR ,,
35,Arkansas,Blytheville AR Tesla Supercharger, Blytheville AR ,,
36,Arkansas,Clarksville AR Tesla Supercharger, Clarksville AR ,,
37,Arkansas,Forrest City AR Tesla Supercharger, Forrest City AR ,,
38,Arkansas,Fort Smith AR Tesla Supercharger, Fort Smith AR ,,
39,Arkansas,Little Rock Supercharger, 11201 Bass Pro Parkway Little Rock AR, Roadside Assistance: (877) 798-3752,10
40,California,Adin CA Tesla Supercharger, Adin CA ,,
41,California,Alameda CA Tesla Supercharger, Alameda CA ,,
42,California,Almaden CA Tesla Supercharger, Almaden CA ,,
43,California,Anaheim CA Tesla Supercharger, Anaheim CA ,,
44,California,Antioch CA Tesla Supercharger, Antioch CA ,,
45,California,Atascadero CA Supercharger, 6950 El Camino Real Atascadero CA 93422, Roadside Assistance: (877) 798-3752,8
46,California,Baker, CA Supercharger 71808 Baker Blvd Baker CA 92309-0000, Roadside Assistance: (877) 798-3752,40
47,California,Bakersfield Supercharger, 29541 Stockdale Hwy Bakersfield CA 93314, Roadside Assistance: (877) 798-3752,10
48,California,Bakersfield CA Tesla Supercharger, Bakersfield CA ,,
49,California,Barstow Supercharger, 2812 Lenwood Road Barstow CA 92311, Roadside Assistance: (877) 798-3752,16
50,California,Beverly Hills CA Tesla Supercharger, Beverly Hills CA ,,
51,California,Big Sur CA Tesla Supercharger, Big Sur CA ,,
52,California,Bishop CA Tesla Supercharger, Bishop CA ,,
53,California,Brea CA Tesla Supercharger, Brea CA ,,
54,California,Buellton CA Supercharger, 555 McMurray Rd Buellton CA 93427, Roadside Assistance: (877) 798-3752,10
55,California,Buena Park Supercharger, 6692 Auto Center Drive Buena Park CA 90621, Roadside Assistance: (877) 798-3752,8
56,California,Burbank North Third Street, 495 North Third Street Burbank CA 91502, Roadside Assistance: (877) 798-3752,20
57,California,Buttonwillow Supercharger, 20673 Tracy Ave Buttonwillow CA 93206, Roadside Assistance: (877) 798-3752,10
58,California,Cabazon Supercharger, 48400 Seminole Drive Cabazon CA 92230, Roadside Assistance: (877) 798-3752,16
59,California,Calabasas CA Tesla Supercharger, Calabasas CA ,,
60,California,Cambria CA Tesla Supercharger, Cambria CA ,,
61,California,Carlsbad CA Tesla Supercharger, Carlsbad CA ,,
62,California,Carmel Mountain CA Tesla Supercharger, Carmel Mountain CA ,,
63,California,Castro Valley CA Tesla Supercharger, Castro Valley CA ,,
64,California,Cerritos CA Tesla Supercharger, Cerritos CA ,,
65,California,Chico CA Tesla Supercharger, Chico CA ,,
66,California,Chino Hills CA Tesla Supercharger, Chino Hills CA ,,
67,California,Chula Vista CA Tesla Supercharger, Chula Vista CA ,,
68,California,Commerce CA Tesla Supercharger, Commerce CA ,,
69,California,Concord CA Supercharger, 2001 Diamond Blvd Concord 94520, Roadside Assistance: (877) 798-3752,19
70,California,Corning CA Supercharger, 950 Hwy 99 W Corning CA 96021, Roadside Assistance: (877) 798-3752,6
71,California,Corona CA Tesla Supercharger, Corona CA ,,
72,California,Costa Mesa CA Tesla Supercharger, Costa Mesa CA ,,
73,California,Crescent City Supercharger, 1000 Front Street Crescent City CA 95531, Roadside Assistance: (877) 798-3752,6
74,California,Culver City Supercharger, 6000 Sepulveda Blvd. Culver City CA 90230, Roadside Assistance: (877) 798-3752,16
75,California,Cupertino CA Supercharger, 19500 Vallco Parkway Cupertino 95014-0000, Roadside Assistance: (877) 798-3752,10
76,California,Daly City CA Tesla Supercharger, Daly City CA ,,
77,California,Dana Point CA Tesla Supercharger, Dana Point CA ,,
78,California,Del Mar CA Tesla Supercharger, Del Mar CA ,,
79,California,Downey CA - Lakewood Boulevard Supercharger, 9500 Lakewood Boulevard Downey CA 90240-3307, Roadside Assistance: (877) 798-3752,12
80,California,Dublin CA Tesla Supercharger, Dublin CA ,,
81,California,Dublin-Amador Plaza, 6701 Amador Plaza Road Dublin CA 94568 , Roadside Assistance: (877) 798-3752,14
82,California,El Cajon CA Tesla Supercharger, El Cajon CA ,,
83,California,El Centro Supercharger, 3551 S Dogwood Rd El Centro CA 92243, Roadside Assistance: (877) 798-3752,8
84,California,Emeryville CA Tesla Supercharger, Emeryville CA ,,
85,California,Escondido CA Tesla Supercharger, Escondido CA ,,
86,California,Eureka Supercharger, 3300 Broadway St. Eureka CA 95501, Roadside Assistance: (877) 798-3752,8
87,California,Fairfield CA - Travis Blvd Supercharger, 1350 Travis Blvd Fairfield CA 94533-3432, Roadside Assistance: (877) 798-3752,12
88,California,Fish Camp Supercharger, 1122 Highway 41 Fish Camp CA 93623, Roadside Assistance: (877) 798-3752,8
89,California,Folsom  Palladio Parkway Supercharger, 220 Palladio Parkway Folsom CA 95630, Roadside Assistance: (877) 798-3752,10
90,California,Folsom CA Tesla Supercharger, Folsom CA ,,
91,California,Folsom CA - Iron Point Road Supercharger, 220 Iron Point Rd Folsom CA 95630, Roadside Assistance: (877) 798-3752,4
92,California,Fontana CA Tesla Supercharger, Fontana CA ,,
93,California,Fountain Valley Supercharger, 17940 Newhope St Fountain Valley CA 92708, Roadside Assistance: (877) 798-3752,16
94,California,Fremont, 45500 Fremont Blvd Fremont CA 94538, Roadside Assistance: (877) 798-3752,12
95,California,Fremont CA - 39201 Fremont Blvd Supercharger, 39201 Fremont Blvd Fremont CA 94538-1301, Roadside Assistance: (877) 798-3752,12
96,California,Fresno Supercharger, 6709 N Riverside Dr Fresno CA 93722, Roadside Assistance: (877) 798-3752,10
97,California,Fresno CA Tesla Supercharger, Fresno CA ,,
98,California,Gilroy CA Supercharger, Gilroy Premium Outlets Gilroy CA 95020, Roadside Assistance: (877) 798-3752,16
99,California,Glendale CA Supercharger, 899 Americana Way Glendale CA 91210, Roadside Assistance: (877) 798-3752,20
100,California,Greenville CA Tesla Supercharger, Greenville CA ,,
101,California,Groveland Supercharger, 11875 Ponderosa Lane Groveland CA 95321, Roadside Assistance: (877) 798-3752,7
102,California,Gustine Supercharger, 12411 CA-33 Gustine CA 95322, Roadside Assistance: (877) 798-3752,12
103,California,Half Moon Bay CA Tesla Supercharger, Half Moon Bay CA ,,
104,California,Harris Ranch Supercharger, 24505 W Dorris Ave Coalinga CA 93210, Roadside Assistance: (877) 798-3752,18
105,California,Hayward CA Tesla Supercharger, Hayward CA ,,
106,California,Hesperia CA Tesla Supercharger, Hesperia CA ,,
107,California,Highland CA Tesla Supercharger, Highland CA ,,
108,California,Hollister CA Supercharger, 10021 Pacheco Pass Hwy Hollister CA 95023-9541, Roadside Assistance: (877) 798-3752,20
109,California,Hollywood CA Tesla Supercharger, Hollywood CA ,,
110,California,Huntington Beach CA Tesla Supercharger, Huntington Beach CA ,,
111,California,Indio Supercharger, 42100 Jackson St Indio CA 92203, Roadside Assistance: (877) 798-3752,8
112,California,Indio CA Tesla Supercharger, Indio CA ,,
113,California,Inyokern Supercharger, 1353 Brown Road Inyokern CA 93527, Roadside Assistance: (877) 798-3752,4
114,California,Irvine, CA Tesla Supercharger Irvine CA ,,
115,California,Kettleman City CA Supercharger, 27675 Bernard Drive Kettleman City CA 93239, Roadside Assistance: (877) 798-3752,40
116,California,Kirkwood CA Tesla Supercharger, Kirkwood CA ,,
117,California,Kramer Junction CA Tesla Supercharger, Kramer Junction CA ,,
118,California,Lake Elsinore CA Supercharger, 17600 Collier Avenue Lake Elsinore CA 92530, Roadside Assistance: (877) 798-3752,21
119,California,Lakewood CA Tesla Supercharger, Lakewood CA ,,
120,California,Laytonville CA Tesla Supercharger, Laytonville CA ,,
121,California,Livermore CA Tesla Supercharger, Livermore CA ,,
122,California,Lone Pine Supercharger, 701 S Main St Lone Pine CA 93545, Roadside Assistance: (877) 798-3752,4
123,California,Long Beach CA Tesla Supercharger, Long Beach CA ,,
124,California,Los Altos CA Tesla Supercharger, Los Altos CA ,,
125,California,Los Angeles Supercharger, 1 Rocket Rd Hawthorne CA 90250, Roadside Assistance: (877) 798-3752,12
126,California,Los Angeles CA - Downtown Tesla Supercharger, Los Angeles CA ,,
127,California,Los Gatos CA Tesla Supercharger, Los Gatos CA ,,
128,California,Malibu CA Tesla Supercharger, Malibu CA ,,
129,California,Mammoth Lakes Supercharger, 1475 Tavern Road Mammoth Lakes CA 93546, Roadside Assistance: (877) 798-3752,8
130,California,Manhattan Beach CA Tesla Supercharger, Manhattan Beach CA ,,
131,California,Manteca Supercharger, 960 Perimeter Dr Manteca CA 95337, Roadside Assistance: (877) 798-3752,20
132,California,Marin City CA Tesla Supercharger, Marin City CA ,,
133,California,Marina Del Rey CA Tesla Supercharger, Marina Del Rey CA ,,
134,California,Mariposa CA Tesla Supercharger, Mariposa CA ,,
135,California,Mendocino CA Tesla Supercharger, Mendocino CA ,,
136,California,Merced CA Tesla Supercharger, Merced CA ,,
137,California,Milpitas CA Tesla Supercharger, Milpitas CA ,,
138,California,Mission Viejo CA Tesla Supercharger, Mission Viejo CA ,,
139,California,Mojave Supercharger, 16940 California 14 Mojave CA 93501, Roadside Assistance: (877) 798-3752,6
140,California,Mojave CA Tesla Supercharger, Mojave CA ,,
141,California,Montebello CA Tesla Supercharger, Montebello CA ,,
142,California,Monterey Supercharger, 1410 Del Monte Center Monterey CA 93940-6168, Roadside Assistance: (877) 798-3752,10
143,California,Monterey-Seaside, 1901 Del Monte Blvd Seaside CA 93955 , Roadside Assistance: (877) 798-3752,6
144,California,Moreno Valley CA Tesla Supercharger, Moreno Valley CA ,,
145,California,Mountain View Supercharger, 1401 N. Shoreline Blvd. Mountain View CA 94043, Roadside Assistance: (877) 798-3752,12
146,California,Mountain View CA Tesla Supercharger, Mountain View CA ,,
147,California,Mt. Shasta Supercharger, 111 Morgan Way Mt. Shasta CA 96067, Roadside Assistance: (877) 798-3752,4
148,California,Mt. Shasta CA - 134 Morgan Way Supercharger, 134 Morgan Way Mt. Shasta CA 96067-2501, Roadside Assistance: (877) 798-3752,16
149,California,Napa CA Supercharger, 221 Devlin Rd Napa CA 94558, Roadside Assistance: (877) 798-3752,12
150,California,Needles Supercharger, 2451 Needles HWY Needles CA 92363, Roadside Assistance: (877) 798-3752,4
151,California,Newell CA Tesla Supercharger, Newel CA ,,
152,California,Northridge CA Tesla Supercharger, Northridge CA ,,
153,California,Oakland CA Tesla Supercharger, Oakland CA ,,
154,California,Ojai CA Tesla Supercharger, Ojai CA ,,
155,California,Ontario CA Tesla Supercharger, Ontario CA ,,
156,California,Oxnard Supercharger, 2751 Park View Ct Oxnard CA 93036, Roadside Assistance: (877) 798-3752,18
157,California,Pacific Palisades CA Tesla Supercharger, Pacific Palisades CA ,,
158,California,Palm Desert CA Tesla Supercharger, Palm Desert CA ,,
159,California,Palm Springs, CA Tesla Supercharger Palm Springs CA ,,
160,California,Palmdale CA Tesla Supercharger, Palmdale CA ,,
161,California,Palo Alto CA Tesla Supercharger, Palo Alto CA ,,
162,California,Pasadena CA Tesla Supercharger, Pasadena CA ,,
163,California,Petaluma CA Supercharger,  401 Kenilworth Drive Petaluma CA 94952, Roadside Assistance: (877) 798-3752,20
164,California,Playa Vista CA Tesla Supercharger, Playa Vista CA ,,
165,California,Pomona CA Tesla Supercharger, Pomona CA ,,
166,California,Rancho Cucamonga Supercharger, 12642 Cultural Center Dr. Rancho Cucamonga CA 91739, Roadside Assistance: (877) 798-3752,12
167,California,Redding CA Tesla Supercharger, Redding CA ,,
168,California,Redondo Beach Supercharger, 2410 Marine Avenue Redondo Beach CA 90278, Roadside Assistance: (877) 798-3752,8
169,California,Redondo Beach CA Tesla Supercharger, Redondo Beach CA ,,
170,California,Richmond CA Tesla Supercharger, Richmond CA ,,
171,California,Riverside CA Supercharger, 3370 9th St Riverside 92501, Roadside Assistance: (877) 798-3752,24
172,California,Rohnert Park CA Tesla Supercharger, Rohnert Park CA ,,
173,California,Roseville CA Supercharger, 1151 Galleria Blvd Roseville CA 95678, Roadside Assistance: (877) 798-3752,7
174,California,Sacramento CA Tesla Supercharger, Sacramento CA ,,
175,California,Sacramento CA Supercharger, 3668 N. Freeway Blvd Sacramento CA 95834-0000, Roadside Assistance: (877) 798-3752,10
176,California,Sacramento-Rocklin, 4361 Granite Drive Rocklin CA 95677 , Roadside Assistance: (877) 798-3752,18
177,California,Salinas CA Supercharger, 1606 North Main Street Salinas CA 93906-5102, Roadside Assistance: (877) 798-3752,4
178,California,San Bernardino CA Supercharger, 500 Inland Center Drive San Bernardino CA 92408, Roadside Assistance: (877) 798-3752,14
179,California,San Carlos, CA Tesla Supercharger San Carlos CA ,,
180,California,San Clemente CA Supercharger, 101 West Avenida Vista Hermosa San Clemente CA 92672-7706, Roadside Assistance: (877) 798-3752,20
181,California,San Diego Supercharger, 10155 Pacific Heights Blvd San Diego CA 92121, Roadside Assistance: (877) 798-3752,12
182,California,San Diego CA Tesla Supercharger, San Diego CA ,,
183,California,San Diego CA (Mission Valley) Tesla Supercharger, San Diego CA ,,
184,California,San Diego CA - La Jolla Tesla Supercharger, San Diego CA ,,
185,California,San Dimas CA Tesla Supercharger, San Dimas CA ,,
186,California,San Francisco CA Tesla Supercharger, San Francisco CA ,,
187,California,San Francisco CA - Financial District Tesla Supercharger, San Francisco CA ,,
188,California,San Francisco CA - Mission Tesla Supercharger, San Francisco CA ,,
189,California,San Francisco CA - SOMA Tesla Supercharger, San Francisco CA ,,
190,California,San Jose (South) CA Tesla Supercharger, San Jose CA ,,
191,California,San Jose CA Tesla Supercharger, San Jose CA ,,
192,California,San Juan Capistrano CA Supercharger, 31971 Camino Capistrano San Juan Capistrano CA 92675, Roadside Assistance: (877) 798-3752,7
193,California,San Luis Obispo CA Supercharger, 100 Madonna Road San Luis Obispo CA 93405, Roadside Assistance: (877) 798-3752,10
194,California,San Mateo Supercharger, 1200 Park Place San Mateo CA 94403, Roadside Assistance: (877) 798-3752,8
195,California,San Mateo CA Tesla Supercharger, San Mateo CA ,,
196,California,San Mateo CA - Bridgepointe Pkwy Supercharger, 2220 Bridgepointe Pkwy San Mateo CA 94404-1569, Roadside Assistance: (877) 798-3752,12
197,California,San Rafael CA Tesla Supercharger, San Rafael CA ,,
198,California,San Ramon CA Tesla Supercharger, San Ramon CA ,,
199,California,San Ysidro CA Tesla Supercharger, San Ysidro CA ,,
200,California,Santa Ana Supercharger, 2800 N. Main Street Santa Ana CA 92705-6607, Roadside Assistance: (877) 798-3752,12
201,California,Santa Barbara CA Tesla Supercharger, Santa Barbara CA ,,
202,California,Santa Clara CA Tesla Supercharger, Santa Clara CA ,,
203,California,Santa Clarita CA Supercharger, 24061 Newhall Ranch Road Valencia CA 91355, Roadside Assistance: (877) 798-3752,24
204,California,Santa Cruz CA Tesla Supercharger, Santa Cruz CA ,,
205,California,Santa Monica CA Tesla Supercharger, Santa Monica CA ,,
206,California,Santa Rosa CA Tesla Supercharger, Santa Rosa CA ,,
207,California,Sherman Oaks CA Tesla Supercharger, Sherman Oaks CA ,,
208,California,Simi Valley CA Tesla Supercharger, Simi Valley CA ,,
209,California,Sonoma CA Tesla Supercharger, Sonoma CA ,,
210,California,Sonora CA Tesla Supercharger, Sonora CA ,,
211,California,South San Francisco CA Tesla Supercharger, South San Francisco CA ,,
212,California,Stockton CA Tesla Supercharger, Stockton CA ,,
213,California,Studio City CA Tesla Supercharger, Studio City CA ,,10
214,California,Sunnyvale CA - W. McKinley Ave Supercharger, 298 W. McKinley Ave Sunnyvale 94086-6193, Roadside Assistance: (877) 798-3752,
215,California,Susanville CA Tesla Supercharger, Susanville CA ,,
216,California,Tejon Ranch Supercharger, 5602 Dennis McCarthy Dr Lebec CA 93243, Roadside Assistance: (877) 798-3752,8
217,California,Temecula Supercharger, 40820 Winchester Rd. Temecula CA 92591, Roadside Assistance: (877) 798-3752,10
218,California,Thousand Oaks CA - East Thousand Oaks Boulevard Supercharger, 4000 East Thousand Oaks Boulevard Thousand Oaks 91362, Roadside Assistance: (877) 798-3752,24
219,California,Truckee Brockway Road Supercharger, 11209 Brockway Road Truckee CA 96161, Roadside Assistance: (877) 798-3752,8
220,California,Truckee Donner Pass Supercharger, 11290 Donner Pass Rd Truckee CA 96161, Roadside Assistance: (877) 798-3752,6
221,California,Truckee CA Tesla Supercharger, Truckee CA ,,
222,California,Tustin CA Tesla Supercharger, Tustin CA ,,
223,California,Twentynine Palms Supercharger, 73829 Baseline Road Twentynine Palms CA 92277-4125, Roadside Assistance: (877) 798-3752,8
224,California,Ukiah Supercharger, 250 W Clay St. Ukiah CA 95482, Roadside Assistance: (877) 798-3752,8
225,California,Vacaville Supercharger, 321 Nut Tree Road Vacaville CA 95687, Roadside Assistance: (877) 798-3752,16
226,California,Vallejo CA Tesla Supercharger, Vallejo CA ,,
227,California,Venice CA Tesla Supercharger, Venice CA ,,
228,California,Ventura CA Tesla Supercharger, Ventura CA ,,
229,California,Visalia CA Tesla Supercharger, Visalia CA ,,
230,California,Vista CA Tesla Supercharger, Vista CA ,,
231,California,Walnut Creek CA Tesla Supercharger, Walnut Creek CA ,,
232,California,Watsonville CA Tesla Supercharger, Watsonville CA ,,
233,California,West Covina CA Tesla Supercharger, West Covina CA ,,
234,California,Westminster CA Tesla Supercharger, Westminster CA ,,
235,California,Westwood CA Tesla Supercharger, Westwood CA ,,
236,California,Williams CA Tesla Supercharger, Williams CA ,,
237,California,Woodland CA Tesla Supercharger, Woodland CA ,,
238,California,Woodside CA Tesla Supercharger, Woodside CA ,,
239,California,Yermo CA Supercharger, 36017 Calico Road Yermo CA 92398, Roadside Assistance: (877) 798-3752,18
240,California,Yuba City CA Tesla Supercharger, Yuba City CA ,,
241,Colorado,Alamosa CO Tesla Supercharger, Alamosa CO ,,
242,Colorado,Aspen CO Tesla Supercharger, Aspen CO ,,
243,Colorado,Boulder CO Supercharger, 1710 29th Street Boulder CO 80301, Roadside Assistance: (877) 798-3752,10
244,Colorado,Brush Supercharger, 1156 CO-71 Brush CO 80723-2902, Roadside Assistance: (877) 798-3752,8
245,Colorado,Colorado Springs Supercharger, 215 North Cascade Avenue Colorado Springs CO 80903, Roadside Assistance: (877) 798-3752,8
246,Colorado,Conifer CO Tesla Supercharger, Conifer CO ,,
247,Colorado,Denver CO Tesla Supercharger, Denver CO ,,
248,Colorado,Denver CO - Cherry Creek Tesla Supercharger, Denver CO ,,
249,Colorado,Denver CO - Tech Center Tesla Supercharger, Denver CO ,,
250,Colorado,Denver CO Supercharger, 4310 Airport Way Denver CO 80239, Roadside Assistance: (877) 798-3752,6
251,Colorado,Estes Park CO Supercharger, 333 Wonderview Avenue Estes Park CO 80517-9665, Roadside Assistance: (877) 798-3752,7
252,Colorado,Glenwood Springs CO Supercharger, 125 Wulfsohn Rd Glenwood Springs CO 81601, Roadside Assistance: (877) 798-3752,6
253,Colorado,Grand Junction CO Supercharger, 2424 U.S-6 Grand Junction CO 81505, Roadside Assistance: (877) 798-3752,6
254,Colorado,Idaho Springs CO Tesla Supercharger, Idaho Springs CO ,,
255,Colorado,Limon CO Supercharger, 2221 6th St. Limon CO 80828, Roadside Assistance: (877) 798-3752,6
256,Colorado,Lone Tree CO - Park Meadows Center Drive, 8401 Park Meadows Center Drive Lone Tree CO 80124-5128, Roadside Assistance: (877) 798-3752,10
257,Colorado,Loveland Supercharger, 4705 Clydesdale Parkway Loveland CO 80538-9347, Roadside Assistance: (877) 798-3752,10
258,Colorado,Montrose CO Tesla Supercharger, Montrose CO ,,
259,Colorado,Poncha Springs CO Superchargers, 6250 US Highway 285 Poncha Springs CO 81242-0000, Roadside Assistance: (877) 798-3752,8
260,Colorado,Silverthorne CO Supercharger, 309 Rainbow Dr Silverthorne CO 80498, Roadside Assistance: (877) 798-3752,8
261,Colorado,Steamboat Springs CO Tesla Supercharger, Steamboat Springs CO ,,
262,Colorado,Telluride CO Tesla Supercharger, Telluride CO ,,
263,Colorado,Trinidad Supercharger, 9960 Santa Fe Trail Trinidad CO 81082, Roadside Assistance: (877) 798-3752,6
264,Colorado,Walsenburg CO Tesla Supercharger, Walsenburg CO ,,
265,Colorado,Wheat Ridge CO Tesla Supercharger, Wheat Ridge CO ,,
266,Connecticut,Danbury CT Supercharger, 7 Backus Ave Danbury 06810-7422, Roadside Assistance: (877) 798-3752,10
267,Connecticut,Darien CT Tesla Supercharger, Darien CT ,,
268,Connecticut,Darien CT North Supercharger, I-95 North after exit 12 Darien CT 06820, Roadside Assistance: (877) 798-3752,4
269,Connecticut,Darien CT South Supercharger, I-95 South after exit 10 Darien CT 06820, Roadside Assistance: (877) 798-3752,4
270,Connecticut,Greenwich CT North Supercharger, 3000 Merritt Parkway Greenwich CT 6830, Roadside Assistance: (877) 798-3752,4
271,Connecticut,Greenwich CT South Supercharger, 2000 Merritt Parkway Greenwich CT 6830, Roadside Assistance: (877) 798-3752,4
272,Connecticut,Hartford CT Supercharger, 777 Main Street Hartford CT 06824-2308, Roadside Assistance: (877) 798-3752,6
273,Connecticut,Manchester CT Supercharger, 1470 Pleasant Valley Road Manchester CT 06042-8764, Roadside Assistance: (877) 798-3752,16
274,Connecticut,Milford - Boston Post Road Supercharger, 1201 Boston Post Road Milford CT 6460, Roadside Assistance: (877) 798-3752,14
275,Connecticut,Milford CT North Supercharger, Milford Travel Plaza Milford CT 6460, Roadside Assistance: (877) 798-3752,2
276,Connecticut,Milford CT South Supercharger, Travel Plaza Milford CT 6460, Roadside Assistance: (877) 798-3752,2
277,Connecticut,New London CT Tesla Supercharger, New London CT ,,
278,Connecticut,North Canaan CT Tesla Supercharger, North Canaan CT ,,
279,Connecticut,North Stamford CT Tesla Supercharger, North Stamford CT ,,
280,Connecticut,Old Lyme CT Tesla Supercharger, Old Lyme CT ,,
281,Connecticut,Stamford CT Tesla Supercharger, Stamford CT ,,
282,Connecticut,Torrington CT Tesla Supercharger, Torrington CT ,,
283,Connecticut,Trumbull CT Tesla Supercharger, Trumbull CT ,,
284,Connecticut,Waterbury CT Tesla Supercharger, Waterbury CT ,,
285,Connecticut,West Hartford Supercharger, 1445 New Britain Ave. West Hartford CT 6110, Roadside Assistance: (877) 798-3752,8
286,Delaware,Claymont DE Supercharger, 605 Naamans Road Claymont DE 19703, Roadside Assistance: (877) 798-3752,8
287,Delaware,Dover DE Tesla Supercharger, Dover DE ,,
288,Delaware,Lewes DE Supercharger, 17663 Dartmouth Drive Lewes DE 19958-4203, Roadside Assistance: (877) 798-3752,8
289,Delaware,Newark Supercharger, 530 JFK Memorial Highway Newark DE 19725, Roadside Assistance: (877) 798-3752,12
290,District of Columbia,Columbia Heights DC Tesla Supercharger, Columbia Heights District of Columbia ,,
291,District of Columbia,Washington NE DC Tesla Supercharger, Washington NE District of Columbia ,,
292,District of Columbia,Washington SE DC Tesla Supercharger, Washington SE District of Columbia ,,
293,District of Columbia,Washington DC Tesla Supercharger, Washington District of Columbia ,,
294,Florida,Altamont Springs FL Tesla Supercharger, Altamont Springs FL ,,
295,Florida,Aventura FL Supercharger, 19501 Biscayne Boulevard Aventura FL 33180, Roadside Assistance: (877) 798-3752,35
296,Florida,Beach Park FL Tesla Supercharger, Beach Park FL ,,
297,Florida,Boca Raton FL Tesla Supercharger, Boca Raton FL ,,
298,Florida,Brandon FL Supercharger, 2400 W Brandon Blvd Brandon FL 33511, Roadside Assistance: (877) 798-3752,8
299,Florida,Celebration FL Tesla Supercharger, Celebration FL ,,
300,Florida,Cocoa West FL Tesla Supercharger, Cocoa West FL ,,
301,Florida,DeFuniak Springs Supercharger, Corner of Baldwin Ave. & 10th Street DeFuniak Springs FL 32435, Roadside Assistance: (877) 798-3752,5
302,Florida,Delray Beach FL Tesla Supercharger, Delray Beach FL ,,
303,Florida,Destin FL Tesla Supercharger, Destin FL ,,
304,Florida,Florida City Supercharger, 33505 South Dixie Hwy Florida City FL, Roadside Assistance: (877) 798-3752,8
305,Florida,Fort Drum Supercharger, 184 Florida's Turnpike Okeechobee FL 34972, Roadside Assistance: (877) 798-3752,6
