S.NO,Localities,Addresses,PointofContact,ChargingSlots
18,2702 Queens Plaza South,"2702 Queens Plaza SQueens, New York 11101","Phone (718) 864-2992

                                                   ","Charging
6 Tesla Connectors"
19,2894 on Main Cafe,"2894 Main StEast Troy, WI 53120","Phone (262) 642-9600

                                                   ","Charging
2 Tesla Connectors"
20,2Hawk Vineyard and Winery,"2335 N Phoenix RdMedford, Oregon 97504","Phone (541) 779-9463

                                                   ","Charging
3 Tesla Connectors"
21,327 N. Illinois Garage,"327 N Illinois StIndianapolis, Indiana 46204","Phone (317) 638-5141

                                                   ","Charging
7 Tesla Connectors"
22,345 California Center Parking Garage,"115 Battery StSan Francisco, CA 94111","Phone (415) 434-7743

                                                   ","Charging
1 Tesla Connector"
23,400 Beach Seafood & Tap House,"400  Beach Dr NESt. Petersburg, Florida 33701","Phone (727) 896-2400

                                                   ","Charging
2 Tesla Connectors"
24,400 Fairview,"400 Fairview Ave NSeattle, WA 98109","Phone (623) 810-4805

                                                   ","Charging
3 Tesla Connectors"
25,50 West Vineyards,"39060 John Mosby HwyMiddleburg, Virginia 20117","Phone (571) 367-4760

                                                   ","Charging
3 Tesla Connectors"
26,511 Main Pizzeria and Soda Fountain,"511 Main St.Ashton, Idaho 83420","Phone (208) 652-0511

                                                   ","Charging
3 Tesla Connectors"
27,640 N LaSalle Parking Garage,"640 N LaSalle StChicago, Illinois 60654","Phone (312) 951-1640

                                                   ","Charging
6 Tesla Connectors"
28,750 Main,"750 Main StGrand Junction, CO 81501","Phone (970) 834-3535

                                                   ","Charging
3 Tesla Connectors"
29,7C's Winery,"502  E 560th RdWalnut Grove, Missouri 65770","Phone (417) 788-2263

                                                   ","Charging
1 Tesla Connector"
30,80|50 Mammoth,"50 Canyon BlvdMammoth Lakes, CA 93546","Phone (760) 924-7777

                                                   ","Charging
2 Tesla Connectors"
31,827 Rays,"3519 Ranch Rd 620 NAustin, Texas 78734","Phone (512) 266-9445

                                                   ","Charging
3 Tesla Connectors"
32,A Shade Above,"528 Abrego StMonterey, CA 93940","Phone (831) 649-9100

                                                   ","Charging
2 Tesla Connectors"
33,"A Storybook Inn, a Select Registry Property","277 Rose Hill AveVersailles, KY 40383","Phone (859) 879-9993

                                                   ","Charging
1 Tesla Connector"
34,A1A Motel,"1204 S Oceanshore BlvdFlagler Beach, FL 32136","Phone (386) 439-2359

                                                   ","Charging
1 Tesla Connector"
35,AACA Antique Automobile Museum,"161 Museum DrHummelstown, PA 17036","Phone (717) 566-7100

                                                   ","Charging
2 Tesla Connectors"
36,Abbey Inn Cedar City,"940 W 200 NCedar City, UT 84721","Phone (435) 586-9966

                                                   ","Charging
1 Tesla Connector"
37,"Abe Martin Lodge, Brown County State Park","1405 State Hwy 46 WNashville, Indiana 47448","Phone (812) 988-4418

                                                   ","Charging
3 Tesla Connectors"
38,"Abingdon Manor, Country Inn & Restaurant, a Select Registry Property","307 Church StLatta, SC 29565","Phone (843) 752-5090

                                                   ","Charging
1 Tesla Connector"
39,ABM Parking 13 East 54th Street LLC,"13-17 E 54th StNew York, New York 10022","Phone (212) 308-3770

                                                   ","Charging
2 Tesla Connectors"
40,ABM Parking 475 Park Ave South LLC,"104  E 32nd StNew York, New York 10016","Phone (877) 727-5452

                                                   ","Charging
2 Tesla Connectors"
41,ABM Parking 750 Lexington Ave LLC,"118 E 60th StNew York, New York 10022","Phone (212) 754-2678

                                                   ","Charging
3 Tesla Connectors"
42,ABM Parking 866 UN Plaza,"430 E 49th StNew York, New York 10017","Phone (877) 727-5452

                                                   ","Charging
2 Tesla Connectors"
43,AC Hotel by Marriott Bloomington Mall of America,"8100 26th Ave SBloomington, Minnesota 55425","Phone (952) 854-0123

                                                   ","Charging
10 Tesla Connectors"
44,AC Hotel Chicago Downtown,"630 N Rush StChicago, IL 60611","Phone (312) 981-6600

                                                   ","Charging
2 Tesla Connectors"
45,AC Hotel Minneapolis West End,"5075 Wayzata BlvdSt Louis Park, Minnesota 55416","Phone (763) 545-0000

                                                   ","Charging
3 Tesla Connectors"
46,AC Marriott Spartanburg,"225 Main StSpartanburg, South Carolina 29306","Phone (864) 585-8900

                                                   ","Charging
2 Tesla Connectors"
47,Ace Hotel  Los Angeles,"929 S BroadwayLos Angeles, CA 90015","Phone (760) 325-9900

                                                   ","Charging
3 Tesla Connectors"
48,Ace Hotel Palm Springs,"701 E Palm Canyon DrPalm Springs, CA 92264","Phone (760) 325-9900

                                                   ","Charging
2 Tesla Connectors"
49,Acquiesce Winery,"22353 N Tretheway RdAcampo, California 95220","Phone (209) 333-6102

                                                   ","Charging
1 Tesla Connector"
50,Adelaida Cellars,"5805 Adelaida RdPaso Robles, California 93446","Phone (800) 676-1232

                                                   ","Charging
2 Tesla Connectors"
51,Adelaide Inn,"1215 Ysabel StPaso Robles, CA 93446","Phone (805) 238-2770

                                                   ","Charging
1 Tesla Connector"
52,Adena Golf and Country Club,"950 NW 75th StOcala, Florida 34475","Phone (352) 368-1220

                                                   ","Charging
4 Tesla Connectors"
53,Adoba Hotel Naubinway,"11655 W US-2Naubinway, Michigan 49762","Phone (906) 477-6347

                                                   ","Charging
1 Tesla Connector"
54,Adobe & Pines Inn - Bed & Breakfast,"4107 State Rd 68Ranchos de Taos, New Mexico 87557","Phone (575) 751-0947

                                                   ","Charging
2 Tesla Connectors"
55,Advantage Kitchen & Bath Gallery,"7850 N. Milwaukee AveNiles, IL 60714","Phone (847) 965-4444

                                                   ","Charging
2 Tesla Connectors"
56,Adventure Inn,"1145 E Sheridan StEly, MN 55731","Phone (218) 365-3140

                                                   ","Charging
1 Tesla Connector"
57,Adytum Sanctuary,"186 Skyview DrMossyrock, Washington 98564","Phone (360) 790-2011

                                                   ","Charging
2 Tesla Connectors"
58,Afton Mountain Bed & Breakfast,"10273 Rockfish Valley HwyAfton, VA 22920","Phone (540) 456-6844

                                                   ","Charging
1 Tesla Connector"
59,Agate Cove Inn,"11201 Lansing StMendocino, CA 95460","Phone (707) 937-0551

                                                   ","Charging
1 Tesla Connector"
60,Airway Fun Center,"5626 Portage RdPortage, MI 49002","Phone (269) 327-7061

                                                   ","Charging
2 Tesla Connectors"
61,AKA Beverly Hills,"155 N Crescent DrBeverly Hills, CA 90210","Phone (310) 385-1924

                                                   ","Charging
3 Tesla Connectors"
62,"Albemarle Inn, a Select Registry Property","86 Edgemont RdAsheville, NC 28801","Phone (828) 255-0027

                                                   ","Charging
2 Tesla Connectors"
63,Alcazar Palm Springs,"622 N Palm Canyon DrPalm Springs, California 92262","Phone (760) 318-9850

                                                   ","Charging
1 Tesla Connector"
64,Alderbrook Resort & Spa,"10 E Alderbrook Ridge DrUnion, WA 98592","Phone (360) 898-2200

                                                   ","Charging
2 Tesla Connectors"
65,Alexander Vineyards,"6360 Goehmann LnFredericksburg, TX 78624","Phone (830) 865-3975

                                                   ","Charging
1 Tesla Connector"
66,Alexander's Lodge & Restaurant,"37515 SR 706 EAshford, WA 98304","Phone (360) 569-2300

                                                   ","Charging
2 Tesla Connectors"
67,Alibi Ale Works,"10069 Bridge StTruckee, California 96161","Phone (530) 536-5029

                                                   ","Charging
2 Tesla Connectors"
68,Allegretto Vineyard Resort,"2700 Buena Vista DrPaso Robles, California 93446","Phone (805) 369-2500

                                                   ","Charging
2 Tesla Connectors"
69,Almansor Court,"700 S Almansor StAlhambra, California 91801","Phone (626) 570-4600

                                                   ","Charging
2 Tesla Connectors"
70,ALO Hotel - Orange,"3735 W Chapman AveOrange, California 92868","Phone (714) 978-9168

                                                   ","Charging
3 Tesla Connectors"
71,Alodia's Cucina Italiana,"101 W Main StLexington, South Carolina 29072","Phone (803) 957-1986

                                                   ","Charging
1 Tesla Connector"
72,Aloft Atlanta Downtown Hotel,"300 Spring St NWAtlanta, GA 30308","Phone (678) 515-0300

                                                   ","Charging
2 Tesla Connectors"
73,Aloft Austin Northwest,"14020 US Hwy 183Austin, Texas 78717","Phone (512) 219-0267

                                                   ","Charging
4 Tesla Connectors"
74,Aloft Charlotte Ballantyne,"13139 Ballantyne Corporate PlCharlotte, North Carolina 28277","Phone (704) 247-2222

                                                   ","Charging
2 Tesla Connectors"
75,Aloft Columbia Harbison,"217 Lanneau CtColumbia, South Carolina 29212","Phone (803) 407-6166

                                                   ","Charging
3 Tesla Connectors"
76,Aloft Dallas/Lovefield,"2333  W Mockingbird LnDallas, Texas 75235","Phone (214) 358-7575

                                                   ","Charging
2 Tesla Connectors"
77,Aloft Green Bay,"465 Pilgrim WayGreen Bay, WI 54304","Phone (920) 593-6002

                                                   ","Charging
1 Tesla Connector"
78,Aloft Jacksonville Tapestry Park,"4812 West Deer Lake DrJacksonville, FL 32246","Phone (904) 998-4448

                                                   ","Charging
2 Tesla Connectors"
79,Aloft New Orleans Downtown,"225 Baronne StNew Orleans, Louisiana 70112","Phone (504) 581-9225

                                                   ","Charging
2 Tesla Connectors"
80,Aloft Raleigh,"2100 Hillsborough StRaleigh, NC 27607","Phone (919) 828-9900

                                                   ","Charging
1 Tesla Connector"
81,Aloft Tempe,"951 E Playa Del Norte DrTempe, Arizona 85281","Phone (480) 621-3300

                                                   ","Charging
3 Tesla Connectors"
82,Aloha Inn,"611 El Camino RealArroyo Grande, CA 93420","Phone (805) 489-9300

                                                   ","Charging
1 Tesla Connector"
83,Alpha Omega Winery,"1155 Mee LnSt. Helena, California 94574","Phone (707) 963-9999

                                                   ","Charging
3 Tesla Connectors"
84,Alta Colina Vineyard & Winery,"2825 Adelaida RdPaso Robles, CA 93446","Phone (805) 227-4191

                                                   ","Charging
2 Tesla Connectors"
85,Altenhofen Inn & Suites,"1615 North StSeneca, Kansas 66538","Phone (844) 530-6794

                                                   ","Charging
3 Tesla Connectors"
86,Amangiri,"1 Kayenta RdCanyon Point, UT 84741","Phone (435) 675-3999

                                                   ","Charging
3 Tesla Connectors"
87,Amara Resort and Spa,"100 Amara LnSedona, Arizona 86336","Phone (928) 282-4828

                                                   ","Charging
2 Tesla Connectors"
88,Amavi Cellars,"3796 Peppers Bridge RdWalla Walla, WA 99362","Phone (509) 525-3541

                                                   ","Charging
1 Tesla Connector"
89,Ambrose Hotel,"1255 20th StSanta Monica, CA 90404","Phone (310) 315-1555

                                                   ","Charging
2 Tesla Connectors"
90,"Amelia Island Williams House Bed and Breakfast, a Select Registry Property","103 S 9th StFernandina Beach, Florida 32034","Phone (904) 277-2328

                                                   ","Charging
1 Tesla Connector"
91,American Public University System - Finance Center,"393 N Lawrence StCharles Town, West Virginia 25414","Phone (877) 755-2787

                                                   ","Charging
3 Tesla Connectors"
92,Americana Diner,"359 US Highway 130East Windsor, NJ 08520","Phone (609) 448-4477

                                                   ","Charging
2 Tesla Connectors"
93,Americas Best Value Inn - Harker Heights/Killeen,"511 Pan American DrHarker Heights, TX 76548","Phone (254) 432-5106

                                                   ","Charging
2 Tesla Connectors"
94,AmericInn Hotel & Conference Center,"240 Stadium RdMankato, MN 56001","Phone (507) 345-8011

                                                   ","Charging
2 Tesla Connectors"
95,Amizetta Vineyards,"1099 Greenfield RdSaint Helena, California 94574","Phone (707) 963-1460

                                                   ","Charging
1 Tesla Connector"
96,Amy Home Services,"39 N Western AveCarpentersville, IL 60110","Phone (847) 742-6523

                                                   ","Charging
1 Tesla Connector"
97,Anaheim Marriott,"700 W Convention WayAnaheim, CA 92802","Phone (714) 750-8000

                                                   ","Charging
2 Tesla Connectors"
98,Anchor Beach Inn Crescent City,"880 US Hwy 101 SCrescent City, California 95531","Phone (707) 464-2600

                                                   ","Charging
4 Tesla Connectors"
99,Andaz Scottsdale Resort & Spa,"6114 N Scottsdale RdScottsdale, Arizona 85253","Phone (480) 368-1234

                                                   ","Charging
2 Tesla Connectors"
100,Andaz Wall Street,"75 Wall StNew York, NY 10005","Phone (212) 590-1234

                                                   ","Charging
1 Tesla Connector"
101,Andis Wines,"11000 Shenandoah RdPlymouth, CA 95642","Phone (209) 245-6177

                                                   ","Charging
2 Tesla Connectors"
102,Andy Alligator's Fun Park & Water Park,"3300 Market PlNorman, OK 73072","Phone (405) 321-7275

                                                   ","Charging
2 Tesla Connectors"
103,Angel of the Winds Casino,"3438 Stoluckquamish LnArlington, Washington 98223","Phone (360) 474-9740

                                                   ","Charging
3 Tesla Connectors"
104,Angelina's Ristorante,"399 Ellis StStaten Island, NY 10307","Phone (718) 227-2900

                                                   ","Charging
2 Tesla Connectors"
105,"Antietam Overlook Farm, a Select Registry Property","4812 Porterstown RdKeedysville, MD 21756","Phone 800-878-4241

                                                   ","Charging
1 Tesla Connector"
106,"Antrim 1844 Country House Hotel, a Select Registry Property","30 Trevanion RdTaneytown, MD 21787","Phone (410) 756-6812

                                                   ","Charging
1 Tesla Connector"
107,Apex Jet Center,"150 S Apollo BlvdMelbourne, Florida 32901","Phone (321) 956-8695

                                                   ","Charging
2 Tesla Connectors"
108,Apolloni Vineyards Winery,"14135 NW Timmerman RdForest Grove, Oregon 97116","Phone (503) 359-3606

                                                   ","Charging
2 Tesla Connectors"
109,Apple Parking 332 W 11th Street,"332 W 11th StNew York, New York 10014","Phone (212) 741-9079

                                                   ","Charging
3 Tesla Connectors"
110,"Applegate Inn, a Select Registry Property","279 W Park StLee, MA 01240","Phone (413) 243-4451

                                                   ","Charging
1 Tesla Connector"
111,"Applewood Inn, Restaurant and Spa","13555 Rte 116Guerneville, California 95446","Phone (707) 869-9093

                                                   ","Charging
2 Tesla Connectors"
112,"Arizona Biltmore, A Waldorf Astoria Resort","2400 E Missouri AvePhoenix, Arizona 85016","Phone (602) 955-6600

                                                   ","Charging
6 Tesla Connectors"
113,Arizona Grand Resort & Spa,"8000 S Arizona Grand PkwyPhoenix, Arizona 85044","Phone (602) 438-9000

                                                   ","Charging
4 Tesla Connectors"
114,Arlington Resort Hotel & Spa,"239 Central AveHot Springs National Park, Arkansas 71901","Phone (501) 623-7771

                                                   ","Charging
8 Tesla Connectors"
115,"Arrowhead Inn Bed & Breakfast, a Select Registry Property","106 Mason RdDurham, NC 27712","Phone (919) 477-8430

                                                   ","Charging
1 Tesla Connector"
116,"Arsenic and Old Lace Bed & Breakfast Inn, a Select Registry Property","60 Hillside AveEureka Springs, AR 72632","Phone (866) 350-5454

                                                   ","Charging
1 Tesla Connector"
117,Art's Tavern Annex,"6475 Western AveGlen Arbor, Michigan 49636","Phone (231) 326-5275

                                                   ","Charging
1 Tesla Connector"
118,Artis-Naples,"5833 Pelican Bay BlvdNaples, Florida 34108","Phone (239) 597-1111

                                                   ","Charging
2 Tesla Connectors"
119,Asa Cline House B&B,"8150 Carpers PikeYellow Spring, WV 26865","Phone (304) 874-4115

                                                   ","Charging
1 Tesla Connector"
120,Asa Ransom House,"10529 Main StClarence, NY 14031","Phone (716) 759-2315

                                                   ","Charging
1 Tesla Connector"
121,Ashbrooke Hotel,"7942  Hwy 42Egg Harbor, Wisconsin 54209","Phone (877) 868-3113

                                                   ","Charging
2 Tesla Connectors"
122,Ashes & Diamonds Winery,"4130  Howard LnNapa Valley, California 94558","Phone (707) 666-4777

                                                   ","Charging
3 Tesla Connectors"
123,Atheneum Suite Hotel,"1000 Brush StDetroit, MI 48226","Phone (313) 962-2323

                                                   ","Charging
2 Tesla Connectors"
124,Atlanta Airport Marriott Gateway,"2020 Convention Center ConcourseAtlanta, Georgia 30337","Phone (404) 763-1544

                                                   ","Charging
1 Tesla Connector"
125,Atlanta Chinatown Mall,"5383 New Peachtree RdChamblee, Georgia 30341","Phone (770) 458-6660

                                                   ","Charging
8 Tesla Connectors"
126,Atlanta Evergreen Marriott Conference Resort,"4021 Lakeview DrStone Mountain, Georgia 30083","Phone (770) 879-9900

                                                   ","Charging
2 Tesla Connectors"
127,Atlanta Marriott Buckhead Hotel & Conference Center,"3405 Lenox Rd NEAtlanta, Georgia 30326","Phone (404) 261-9250

                                                   ","Charging
1 Tesla Connector"
128,Atlanta Motorsports Park,"20  Duck Thurmond RoadDawsonville, Georgia 30534","Phone (678) 381-8527

                                                   ","Charging
6 Tesla Connectors"
129,Atlantic Aviation - Austin,"4309 Emma Browning AveAustin, Texas 78719","Phone (512) 382-8810

                                                   ","Charging
2 Tesla Connectors"
130,Atlantic Aviation - Salt Lake City,"485 N 2360 WSalt Lake City, Utah 84116","Phone (385) 715-7192

                                                   ","Charging
4 Tesla Connectors"
131,Atlantic Aviation MDW,"6150 S Laramie AveChicago, Illinois 60638","Phone (773) 582-5720

                                                   ","Charging
4 Tesla Connectors"
132,Atlantic Aviation PDX,"8089 NE Airport WyPortland, Oregon 97218","Phone (503) 331-4220

                                                   ","Charging
5 Tesla Connectors"
133,Atlantic Aviation Reno,"655 S Rock BlvdReno, Nevada 89502","Phone (775) 858-7300

                                                   ","Charging
4 Tesla Connectors"
134,Atlantic House Bed and Breakfast,"501 N Baltimore AveOcean City, MD 21842","Phone (410) 289-2333

                                                   ","Charging
1 Tesla Connector"
135,Atlantic Plumbing Building Parking,"2112 8th St NWWashington, District of Columbia 20001","Phone (202) 760-4510

                                                   ","Charging
1 Tesla Connector"
136,Atlantis Casino Resort Spa,"3800 S Virginia StReno, NV 89502","Phone (800) 723-6500

                                                   ","Charging
2 Tesla Connectors"
137,Atrium Resort,"315 21st StVirginia Beach, VA 23451","Phone (757) 491-1400

                                                   ","Charging
2 Tesla Connectors"
138,Atticus Hotel,"352 NE Ford StMcMinnville, Oregon 97128","Phone (503) 472-1975

                                                   ","Charging
2 Tesla Connectors"
139,Auburn Hills Marriott Pontiac,"3600 Centerpoint PkwyPontiac, Michigan 48341","Phone (248) 253-9800

                                                   ","Charging
2 Tesla Connectors"
140,Augusta Marriott at the Convention Center,"2 10th StAugusta, GA 30901","Phone (706) 722-8900

                                                   ","Charging
2 Tesla Connectors"
141,Austin Motel,"1220 S Congress AveAustin, Texas 78704","Phone (512) 694-3770

                                                   ","Charging
1 Tesla Connector"
142,Austin Terrier,"3435 Greystone DrAustin, Texas 78731","Phone (512) 369-3751

                                                   ","Charging
2 Tesla Connectors"
143,AutoCamp Russian River,"14120 Old Cazadero RdGuerneville, California 95446","Phone (888) 405-7553

                                                   ","Charging
2 Tesla Connectors"
144,Avanti Resort Orlando,"8738 International DrOrlando, Florida 32819","Phone (407) 313-0100

                                                   ","Charging
1 Tesla Connector"
145,Avenue of the Arts Hotel,"3350 Avenue of the ArtsCosta Mesa, California 92626","Phone (714) 751-5100

                                                   ","Charging
2 Tesla Connectors"
146,Avenue Suites Georgetown,"2500 Pennsylvania Ave NWWashington, District of Columbia 20037","Phone (202) 333-8060

                                                   ","Charging
4 Tesla Connectors"
147,Avery Brewing Company,"4910 Nautilus Ct NBoulder, Colorado 80301","Phone (303) 440-4324

                                                   ","Charging
5 Tesla Connectors"
148,Avila Lighthouse Suites,"550 Front StAvila Beach, CA 93424","Phone (805) 627-1900

                                                   ","Charging
1 Tesla Connector"
149,Avila Village Inn,"6655 Bay Laurel PlAvila Beach, California 93424","Phone (805) 627-1810

                                                   ","Charging
2 Tesla Connectors"
150,Avio Vineyards,"14520  Ridge RdSutter Creek, California 95685","Phone (209) 267-1515

                                                   ","Charging
2 Tesla Connectors"
151,Ayres Hotel - Anaheim,"2550 E Katella AveAnaheim, CA 92806","Phone (714) 634-2106

                                                   ","Charging
3 Tesla Connectors"
152,Ayres Hotel - Chino Hills,"Chino Hills, CA 91709","Phone (909) 631-2922

                                                   ","Charging
2 Tesla Connectors"
153,Ayres Hotel - Fountain Valley,"17550 Brookhurst StFountain Valley, CA 92708","Phone (714) 261-5170

                                                   ","Charging
3 Tesla Connectors"
154,Ayres Hotel - Laguna Woods,"24341 El Toro RdLaguna Woods, CA 92637","Phone (949) 588-0131

                                                   ","Charging
3 Tesla Connectors"
155,Ayres Hotel - Orange,"200 The City Dr NOrange, CA 92868","Phone (714) 919-7940

                                                   ","Charging
3 Tesla Connectors"
156,Ayres Hotel - Redlands,"1015 W Colton AveRedlands, California 92374","Phone (909) 335-9024

                                                   ","Charging
3 Tesla Connectors"
157,Ayres Hotel - Seal Beach,"12850 Seal Beach BlvdSeal Beach, CA 90740","Phone (562) 596-8330

                                                   ","Charging
3 Tesla Connectors"
158,Ayres Hotel & Spa - Mission Viejo,"28951 Los Alisos BlvdMission Viejo, CA 92692","Phone (949) 305-7200

                                                   ","Charging
3 Tesla Connectors"
159,Ayres Hotel & Spa - Moreno Valley,"12631 Memorial WayMoreno Valley, CA 92553","Phone (951) 571-4141

                                                   ","Charging
2 Tesla Connectors"
160,Ayres Hotel & Suites Costa Mesa,"325 Bristol StCosta Mesa, CA 92626","Phone (714) 549-0300

                                                   ","Charging
2 Tesla Connectors"
161,Ayres Hotel Manhattan Beach/Hawthorne,"14400 Hindry AveHawthorne, CA 90250","Phone (310) 546-0300

                                                   ","Charging
2 Tesla Connectors"
162,Ayres Inn - Corona East,"2260 Griffin WyCorona, California 92879","Phone (951) 734-2140

                                                   ","Charging
3 Tesla Connectors"
163,Ayres Inn & Suites - Ontario,"4395 E Ontario Mills PkwyOntario, CA 91764","Phone (909) 987-5940

                                                   ","Charging
3 Tesla Connectors"
164,Ayres Lodge Alpine,"1251 Tavern RdAlpine, California 91901","Phone (619) 445-5800

                                                   ","Charging
3 Tesla Connectors"
165,Ayres Suites - Corona West,"1900 Frontage RdCorona, California 92882","Phone (951) 738-9113

                                                   ","Charging
3 Tesla Connectors"
166,Ayres Suites - Costa Mesa,"345 Bristol StCosta Mesa, CA 92626","Phone (714) 549-0300

                                                   ","Charging
3 Tesla Connectors"
167,Ayres Suites - Diamond Bar,"21951 Golden Springs DrDiamond Bar, California 91765","Phone (909) 860-6290

                                                   ","Charging
3 Tesla Connectors"
168,Ayres Suites - Mission Viejo,"28941 Los Alisos BlvdMission Viejo, CA 92692","Phone (949) 455-2545

                                                   ","Charging
3 Tesla Connectors"
169,Ayres Suites - Yorba Linda,"22677 Oakcrest CirYorba Linda, CA 92887","Phone (714) 921-8688

                                                   ","Charging
3 Tesla Connectors"
170,Ayres Suites Ontario at the Mills Mall,"4370 Mills CirOntario, CA 91764","Phone (909) 481-0703

                                                   ","Charging
3 Tesla Connectors"
171,Ayres Suites- Corona West,"1910 Frontage RdCorona, CA 92882","Phone (951) 738-9113

                                                   ","Charging
3 Tesla Connectors"
172,"Azalea Inn & Villas, a Select Registry Property","217 E Huntingdon StSavannah, GA 31401","Phone (912) 236-6080

                                                   ","Charging
1 Tesla Connector"
173,Babica Hen Cafe,"15964 Boones Ferry RdLake Oswego, Oregon 97035","Phone (503) 636-4012

                                                   ","Charging
1 Tesla Connector"
174,Bacara Resort & Spa,"8301 Hollister AveGoleta, CA 93117","Phone (855) 502-2073

                                                   ","Charging
2 Tesla Connectors"
175,Badger Mountain Vineyard & Powers Winery,"1106 N Jurupa StKennewick, Washington 99338","Phone (800) 643-9463

                                                   ","Charging
2 Tesla Connectors"
176,Bahama Bay Resort,"400 Gran Bahama BlvdDavenport, FL 33897","Phone (863) 547-1200

                                                   ","Charging
1 Tesla Connector"
177,Bahama House,"2001 S Atlantic AveDaytona Beach, Florida 32118","Phone (800) 571-2001

                                                   ","Charging
1 Tesla Connector"
178,Bakerstreet Steakhouse,"4820 N Clinton StFort Wayne, Indiana 46825","Phone (260) 484-3300

                                                   ","Charging
3 Tesla Connectors"
179,Bal Harbour Shops - Parking Garage,"9700 Collins AveBal Harbour, FL 33154","Phone (305) 866-0311

                                                   ","Charging
2 Tesla Connectors"
180,Balboa Bay Resort,"1221 West Coast HwyNewport Beach, CA 92663","Phone (949) 645-5000

                                                   ","Charging
2 Tesla Connectors"
181,Bamboo Terrace,"1754 W Ajo WayTucson, AZ 85713","Phone (520) 889-2563

                                                   ","Charging
2 Tesla Connectors"
182,Bandon Crossings Golf Course,"87530 Dew Valley LnBandon, OR 97411","Phone (541) 347-3232

                                                   ","Charging
1 Tesla Connector"
183,Bandon Dunes Golf Resort,"57744 Round LakeBandon, Oregon 97411","Phone (800) 742.0172

                                                   ","Charging
2 Tesla Connectors"
184,Bank of Colorado,"1146 Interquest PkwyColorado Springs, CO 80903","Phone (719) 227-0100

                                                   ","Charging
3 Tesla Connectors"
185,Banyan Air Service,"5360 NW 20th TerraceFort Lauderdale, FL 33309","Phone (954) 491-3170

                                                   ","Charging
2 Tesla Connectors"
186,Bardessono Hotel & Spa,"6526 Yount StYountville, CA 94599","Phone (707) 204-6000

                                                   ","Charging
2 Tesla Connectors"
187,Baron's Cove,"31 W Water StSag Harbor, New York 11963","Phone (631) 725-2100

                                                   ","Charging
1 Tesla Connector"
188,Basecamp Hotel,"4143 Cedar AveSouth Lake Tahoe, CA 96150","Phone (530) 208-0180

                                                   ","Charging
2 Tesla Connectors"
189,Basin Harbor,"4800 Basin Harbor RdVergennes, VT 05491","Phone (802) 475-2311

                                                   ","Charging
1 Tesla Connector"
190,Bass Farms,"840 Bass LnMt Vernon, IA 52314","Phone (319) 895-6480

                                                   ","Charging
1 Tesla Connector"
191,Bavarian Inn,"855 N 5th StCuster, SD 57730","Phone (605) 673-2802

                                                   ","Charging
1 Tesla Connector"
192,"Bavarian Inn, Hotel/Restaurant/Resort","164 Shepherd Grade RdShepherdstown, West Virginia 25443","Phone (304) 876-2551

                                                   ","Charging
2 Tesla Connectors"
193,Bay Palms Waterfront Resort - Hotel & Marina,"4237 Gulf BlvdSaint Pete Beach, Florida 33706","Phone (727) 367-2791

                                                   ","Charging
2 Tesla Connectors"
