,S.No,State,Locality,Directions,Assistance,No.of.Slots,lat,long,accuracy
50,50,California,Beverly Hills CA Tesla Supercharger, Beverly Hills CA ,,NA,33.9866751,-118.3902379,establishment
51,51,California,Big Sur CA Tesla Supercharger, Big Sur CA ,,NA,36.5857686,-121.8987092,establishment
52,52,California,Bishop CA Tesla Supercharger, Bishop CA ,,NA,36.6005886,-118.0619154,establishment
53,53,California,Brea CA Tesla Supercharger, Brea CA ,,NA,33.9155986,-117.8868159,car_dealer
54,54,California,Buellton CA Supercharger, 555 McMurray Rd Buellton CA 93427, Roadside Assistance: (877) 798-3752,10,34.6151272,-120.1886048,establishment
55,55,California,Buena Park Supercharger, 6692 Auto Center Drive Buena Park CA 90621, Roadside Assistance: (877) 798-3752,8,33.8636442,-117.9905884,car_dealer
56,56,California,Burbank North Third Street, 495 North Third Street Burbank CA 91502, Roadside Assistance: (877) 798-3752,20,NA,NA,NA
57,57,California,Buttonwillow Supercharger, 20673 Tracy Ave Buttonwillow CA 93206, Roadside Assistance: (877) 798-3752,10,35.4000972,-119.3977561,establishment
58,58,California,Cabazon Supercharger, 48400 Seminole Drive Cabazon CA 92230, Roadside Assistance: (877) 798-3752,16,33.9313268,-116.820061,establishment
59,59,California,Calabasas CA Tesla Supercharger, Calabasas CA ,,NA,34.1367208,-118.6614809,locality
60,60,California,Cambria CA Tesla Supercharger, Cambria CA ,,NA,34.1367208,-118.6614809,locality
61,61,California,Carlsbad CA Tesla Supercharger, Carlsbad CA ,,NA,35.5641381,-121.0807468,locality
62,62,California,Carmel Mountain CA Tesla Supercharger, Carmel Mountain CA ,,NA,32.8713527,-117.2098944,car_dealer
63,63,California,Castro Valley CA Tesla Supercharger, Castro Valley CA ,,NA,32.9805356,-117.0735241,neighborhood
64,64,California,Cerritos CA Tesla Supercharger, Cerritos CA ,,NA,NA,NA,NA
65,65,California,Chico CA Tesla Supercharger, Chico CA ,,NA,33.8583483,-118.0647871,locality
66,66,California,Chino Hills CA Tesla Supercharger, Chino Hills CA ,,NA,39.7284944,-121.8374777,locality
67,67,California,Chula Vista CA Tesla Supercharger, Chula Vista CA ,,NA,33.9898188,-117.7325848,locality
68,68,California,Commerce CA Tesla Supercharger, Commerce CA ,,NA,NA,NA,NA
69,69,California,Concord CA Supercharger, 2001 Diamond Blvd Concord 94520, Roadside Assistance: (877) 798-3752,19,34.0005691,-118.1597929,locality
70,70,California,Corning CA Supercharger, 950 Hwy 99 W Corning CA 96021, Roadside Assistance: (877) 798-3752,6,37.9702025,-122.0585846,establishment
71,71,California,Corona CA Tesla Supercharger, Corona CA ,,NA,39.9264575,-122.1983849,establishment
72,72,California,Costa Mesa CA Tesla Supercharger, Costa Mesa CA ,,NA,33.8752935,-117.5664384,locality
73,73,California,Crescent City Supercharger, 1000 Front Street Crescent City CA 95531, Roadside Assistance: (877) 798-3752,6,33.67738,-117.880001,car_dealer
74,74,California,Culver City Supercharger, 6000 Sepulveda Blvd. Culver City CA 90230, Roadside Assistance: (877) 798-3752,16,33.9854413,-118.395128,establishment
75,75,California,Cupertino CA Supercharger, 19500 Vallco Parkway Cupertino 95014-0000, Roadside Assistance: (877) 798-3752,10,NA,NA,NA
76,76,California,Daly City CA Tesla Supercharger, Daly City CA ,,NA,37.6879241,-122.4702079,locality
77,77,California,Dana Point CA Tesla Supercharger, Dana Point CA ,,NA,33.4984393,-117.6631115,establishment
78,78,California,Del Mar CA Tesla Supercharger, Del Mar CA ,,NA,NA,NA,NA
79,79,California,Downey CA - Lakewood Boulevard Supercharger, 9500 Lakewood Boulevard Downey CA 90240-3307, Roadside Assistance: (877) 798-3752,12,33.95347,-118.1127707,establishment
80,80,California,Dublin CA Tesla Supercharger, Dublin CA ,,NA,NA,NA,NA
81,81,California,Dublin-Amador Plaza, 6701 Amador Plaza Road Dublin CA 94568 , Roadside Assistance: (877) 798-3752,14,37.7053803,-121.9278389,route
82,82,California,El Cajon CA Tesla Supercharger, El Cajon CA ,,NA,32.9021234,-117.1935467,establishment
83,83,California,El Centro Supercharger, 3551 S Dogwood Rd El Centro CA 92243, Roadside Assistance: (877) 798-3752,8,32.792,-115.5630514,locality
84,84,California,Emeryville CA Tesla Supercharger, Emeryville CA ,,NA,38.6377808,-121.4970496,establishment
85,85,California,Escondido CA Tesla Supercharger, Escondido CA ,,NA,NA,NA,NA
86,86,California,Eureka Supercharger, 3300 Broadway St. Eureka CA 95501, Roadside Assistance: (877) 798-3752,8,40.8020712,-124.1636729,locality
87,87,California,Fairfield CA - Travis Blvd Supercharger, 1350 Travis Blvd Fairfield CA 94533-3432, Roadside Assistance: (877) 798-3752,12,38.2617719,-122.0524064,establishment
88,88,California,Fish Camp Supercharger, 1122 Highway 41 Fish Camp CA 93623, Roadside Assistance: (877) 798-3752,8,37.4737761,-119.6358808,establishment
89,89,California,Folsom  Palladio Parkway Supercharger, 220 Palladio Parkway Folsom CA 95630, Roadside Assistance: (877) 798-3752,10,38.64714,-121.118423,establishment
90,90,California,Folsom CA Tesla Supercharger, Folsom CA ,,NA,38.64714,-121.118423,establishment
91,91,California,Folsom CA - Iron Point Road Supercharger, 220 Iron Point Rd Folsom CA 95630, Roadside Assistance: (877) 798-3752,4,38.6422743,-121.188212,establishment
92,92,California,Fontana CA Tesla Supercharger, Fontana CA ,,NA,34.1509928,-117.4710139,establishment
93,93,California,Fountain Valley Supercharger, 17940 Newhope St Fountain Valley CA 92708, Roadside Assistance: (877) 798-3752,16,33.7027789,-117.9341991,establishment
94,94,California,Fremont, 45500 Fremont Blvd Fremont CA 94538, Roadside Assistance: (877) 798-3752,12,37.5482697,-121.9885719,locality
95,95,California,Fremont CA - 39201 Fremont Blvd Supercharger, 39201 Fremont Blvd Fremont CA 94538-1301, Roadside Assistance: (877) 798-3752,12,NA,NA,NA
96,96,California,Fresno Supercharger, 6709 N Riverside Dr Fresno CA 93722, Roadside Assistance: (877) 798-3752,10,36.8358614,-119.9107599,establishment
97,97,California,Fresno CA Tesla Supercharger, Fresno CA ,,NA,36.8358614,-119.9107599,establishment
98,98,California,Gilroy CA Supercharger, Gilroy Premium Outlets Gilroy CA 95020, Roadside Assistance: (877) 798-3752,16,37.0244042,-121.5653015,establishment
99,99,California,Glendale CA Supercharger, 899 Americana Way Glendale CA 91210, Roadside Assistance: (877) 798-3752,20,NA,NA,NA
100,100,California,Greenville CA Tesla Supercharger, Greenville CA ,,NA,44.2123338,-72.5765297,establishment
101,101,California,Groveland Supercharger, 11875 Ponderosa Lane Groveland CA 95321, Roadside Assistance: (877) 798-3752,7,37.8387456,-120.2318111,establishment
102,102,California,Gustine Supercharger, 12411 CA-33 Gustine CA 95322, Roadside Assistance: (877) 798-3752,12,NA,NA,NA
103,103,California,Half Moon Bay CA Tesla Supercharger, Half Moon Bay CA ,,NA,37.4153149,-122.076656,establishment
104,104,California,Harris Ranch Supercharger, 24505 W Dorris Ave Coalinga CA 93210, Roadside Assistance: (877) 798-3752,18,36.2541698,-120.2378374,establishment
105,105,California,Hayward CA Tesla Supercharger, Hayward CA ,,NA,37.7028478,-121.9250813,car_dealer
106,106,California,Hesperia CA Tesla Supercharger, Hesperia CA ,,NA,34.4263886,-117.3008784,locality
107,107,California,Highland CA Tesla Supercharger, Highland CA ,,NA,34.0842517,-117.2990516,establishment
108,108,California,Hollister CA Supercharger, 10021 Pacheco Pass Hwy Hollister CA 95023-9541, Roadside Assistance: (877) 798-3752,20,36.8524545,-121.4016021,locality
109,109,California,Hollywood CA Tesla Supercharger, Hollywood CA ,,NA,34.14512,-118.2571959,establishment
110,110,California,Huntington Beach CA Tesla Supercharger, Huntington Beach CA ,,NA,33.7027789,-117.9341991,establishment
111,111,California,Indio Supercharger, 42100 Jackson St Indio CA 92203, Roadside Assistance: (877) 798-3752,8,NA,NA,NA
112,112,California,Indio CA Tesla Supercharger, Indio CA ,,NA,NA,NA,NA
113,113,California,Inyokern Supercharger, 1353 Brown Road Inyokern CA 93527, Roadside Assistance: (877) 798-3752,4,35.6468991,-117.8125674,locality
114,114,California,Irvine, CA Tesla Supercharger Irvine CA ,,NA,NA,NA,NA
115,115,California,Kettleman City CA Supercharger, 27675 Bernard Drive Kettleman City CA 93239, Roadside Assistance: (877) 798-3752,40,35.9877487,-119.9619591,establishment
116,116,California,Kirkwood CA Tesla Supercharger, Kirkwood CA ,,NA,38.7023082,-120.0722442,locality
117,117,California,Kramer Junction CA Tesla Supercharger, Kramer Junction CA ,,NA,34.9924765,-117.5417235,locality
118,118,California,Lake Elsinore CA Supercharger, 17600 Collier Avenue Lake Elsinore CA 92530, Roadside Assistance: (877) 798-3752,21,NA,NA,NA
119,119,California,Lakewood CA Tesla Supercharger, Lakewood CA ,,NA,NA,NA,NA
120,120,California,Laytonville CA Tesla Supercharger, Laytonville CA ,,NA,39.148006,-123.2085267,establishment
121,121,California,Livermore CA Tesla Supercharger, Livermore CA ,,NA,NA,NA,NA
122,122,California,Lone Pine Supercharger, 701 S Main St Lone Pine CA 93545, Roadside Assistance: (877) 798-3752,4,NA,NA,NA
123,123,California,Long Beach CA Tesla Supercharger, Long Beach CA ,,NA,NA,NA,NA
124,124,California,Los Altos CA Tesla Supercharger, Los Altos CA ,,NA,37.4153149,-122.076656,establishment
125,125,California,Los Angeles Supercharger, 1 Rocket Rd Hawthorne CA 90250, Roadside Assistance: (877) 798-3752,12,33.9209838,-118.3299825,establishment
126,126,California,Los Angeles CA - Downtown Tesla Supercharger, Los Angeles CA ,,NA,NA,NA,NA
127,127,California,Los Gatos CA Tesla Supercharger, Los Gatos CA ,,NA,NA,NA,NA
128,128,California,Malibu CA Tesla Supercharger, Malibu CA ,,NA,NA,NA,NA
129,129,California,Mammoth Lakes Supercharger, 1475 Tavern Road Mammoth Lakes CA 93546, Roadside Assistance: (877) 798-3752,8,NA,NA,NA
130,130,California,Manhattan Beach CA Tesla Supercharger, Manhattan Beach CA ,,NA,33.8942472,-118.3673906,establishment
131,131,California,Manteca Supercharger, 960 Perimeter Dr Manteca CA 95337, Roadside Assistance: (877) 798-3752,20,37.782622,-121.2286793,establishment
132,132,California,Marin City CA Tesla Supercharger, Marin City CA ,,NA,44.2123338,-72.5765297,establishment
133,133,California,Marina Del Rey CA Tesla Supercharger, Marina Del Rey CA ,,NA,33.9830371,-118.4307309,establishment
134,134,California,Mariposa CA Tesla Supercharger, Mariposa CA ,,NA,NA,NA,NA
135,135,California,Mendocino CA Tesla Supercharger, Mendocino CA ,,NA,39.148006,-123.2085267,establishment
136,136,California,Merced CA Tesla Supercharger, Merced CA ,,NA,NA,NA,NA
137,137,California,Milpitas CA Tesla Supercharger, Milpitas CA ,,NA,37.4344049,-121.8911904,establishment
138,138,California,Mission Viejo CA Tesla Supercharger, Mission Viejo CA ,,NA,33.557781,-117.6710739,car_dealer
139,139,California,Mojave Supercharger, 16940 California 14 Mojave CA 93501, Roadside Assistance: (877) 798-3752,6,35.06877,-118.1742072,establishment
140,140,California,Mojave CA Tesla Supercharger, Mojave CA ,,NA,NA,NA,NA
141,141,California,Montebello CA Tesla Supercharger, Montebello CA ,,NA,33.95347,-118.1127707,establishment
142,142,California,Monterey Supercharger, 1410 Del Monte Center Monterey CA 93940-6168, Roadside Assistance: (877) 798-3752,10,NA,NA,NA
143,143,California,Monterey-Seaside, 1901 Del Monte Blvd Seaside CA 93955 , Roadside Assistance: (877) 798-3752,6,36.6149217,-121.822098,locality
144,144,California,Moreno Valley CA Tesla Supercharger, Moreno Valley CA ,,NA,33.9815202,-117.3760966,establishment
145,145,California,Mountain View Supercharger, 1401 N. Shoreline Blvd. Mountain View CA 94043, Roadside Assistance: (877) 798-3752,12,37.4153149,-122.076656,establishment
146,146,California,Mountain View CA Tesla Supercharger, Mountain View CA ,,NA,37.4153149,-122.076656,establishment
147,147,California,Mt. Shasta Supercharger, 111 Morgan Way Mt. Shasta CA 96067, Roadside Assistance: (877) 798-3752,4,41.3101262,-122.3175028,establishment
148,148,California,Mt. Shasta CA - 134 Morgan Way Supercharger, 134 Morgan Way Mt. Shasta CA 96067-2501, Roadside Assistance: (877) 798-3752,16,41.3101262,-122.3175028,establishment
149,149,California,Napa CA Supercharger, 221 Devlin Rd Napa CA 94558, Roadside Assistance: (877) 798-3752,12,38.2355453,-122.2638788,establishment
150,150,California,Needles Supercharger, 2451 Needles HWY Needles CA 92363, Roadside Assistance: (877) 798-3752,4,34.8508611,-114.6243307,establishment
151,151,California,Newell CA Tesla Supercharger, Newel CA ,,NA,42.2168951,-121.7564083,establishment
152,152,California,Northridge CA Tesla Supercharger, Northridge CA ,,NA,34.4310433,-118.5543392,establishment
153,153,California,Oakland CA Tesla Supercharger, Oakland CA ,,NA,37.5582362,-122.2844162,establishment
154,154,California,Ojai CA Tesla Supercharger, Ojai CA ,,NA,34.2444906,-119.1978978,establishment
155,155,California,Ontario CA Tesla Supercharger, Ontario CA ,,NA,34.1137365,-117.5293784,establishment
156,156,California,Oxnard Supercharger, 2751 Park View Ct Oxnard CA 93036, Roadside Assistance: (877) 798-3752,18,34.2380515,-119.177996,establishment
157,157,California,Pacific Palisades CA Tesla Supercharger, Pacific Palisades CA ,,NA,33.8942472,-118.3673906,establishment
158,158,California,Palm Desert CA Tesla Supercharger, Palm Desert CA ,,NA,33.719599,-116.3822135,car_dealer
159,159,California,Palm Springs, CA Tesla Supercharger Palm Springs CA ,,NA,33.8302961,-116.5452921,locality
160,160,California,Palmdale CA Tesla Supercharger, Palmdale CA ,,NA,34.4310433,-118.5543392,establishment
161,161,California,Palo Alto CA Tesla Supercharger, Palo Alto CA ,,NA,37.411164,-122.124304,car_dealer
162,162,California,Pasadena CA Tesla Supercharger, Pasadena CA ,,NA,34.146042,-118.1530165,car_dealer
163,163,California,Petaluma CA Supercharger,  401 Kenilworth Drive Petaluma CA 94952, Roadside Assistance: (877) 798-3752,20,38.2427257,-122.6251003,establishment
164,164,California,Playa Vista CA Tesla Supercharger, Playa Vista CA ,,NA,NA,NA,NA
165,165,California,Pomona CA Tesla Supercharger, Pomona CA ,,NA,NA,NA,NA
166,166,California,Rancho Cucamonga Supercharger, 12642 Cultural Center Dr. Rancho Cucamonga CA 91739, Roadside Assistance: (877) 798-3752,12,34.1137365,-117.5293784,establishment
167,167,California,Redding CA Tesla Supercharger, Redding CA ,,NA,39.9264575,-122.1983849,establishment
168,168,California,Redondo Beach Supercharger, 2410 Marine Avenue Redondo Beach CA 90278, Roadside Assistance: (877) 798-3752,8,33.8942472,-118.3673906,establishment
169,169,California,Redondo Beach CA Tesla Supercharger, Redondo Beach CA ,,NA,33.8942472,-118.3673906,establishment
170,170,California,Richmond CA Tesla Supercharger, Richmond CA ,,NA,37.9702025,-122.0585846,establishment
171,171,California,Riverside CA Supercharger, 3370 9th St Riverside 92501, Roadside Assistance: (877) 798-3752,24,33.9815202,-117.3760966,establishment
172,172,California,Rohnert Park CA Tesla Supercharger, Rohnert Park CA ,,NA,38.2427257,-122.6251003,establishment
173,173,California,Roseville CA Supercharger, 1151 Galleria Blvd Roseville CA 95678, Roadside Assistance: (877) 798-3752,7,38.7714159,-121.2662196,establishment
174,174,California,Sacramento CA Tesla Supercharger, Sacramento CA ,,NA,NA,NA,NA
175,175,California,Sacramento CA Supercharger, 3668 N. Freeway Blvd Sacramento CA 95834-0000, Roadside Assistance: (877) 798-3752,10,38.6377808,-121.4970496,establishment
176,176,California,Sacramento-Rocklin, 4361 Granite Drive Rocklin CA 95677 , Roadside Assistance: (877) 798-3752,18,NA,NA,NA
177,177,California,Salinas CA Supercharger, 1606 North Main Street Salinas CA 93906-5102, Roadside Assistance: (877) 798-3752,4,36.7156358,-121.6539541,establishment
178,178,California,San Bernardino CA Supercharger, 500 Inland Center Drive San Bernardino CA 92408, Roadside Assistance: (877) 798-3752,14,NA,NA,NA
179,179,California,San Carlos, CA Tesla Supercharger San Carlos CA ,,NA,NA,NA,NA
180,180,California,San Clemente CA Supercharger, 101 West Avenida Vista Hermosa San Clemente CA 92672-7706, Roadside Assistance: (877) 798-3752,20,NA,NA,NA
181,181,California,San Diego Supercharger, 10155 Pacific Heights Blvd San Diego CA 92121, Roadside Assistance: (877) 798-3752,12,NA,NA,NA
182,182,California,San Diego CA Tesla Supercharger, San Diego CA ,,NA,32.9021234,-117.1935467,establishment
183,183,California,San Diego CA (Mission Valley) Tesla Supercharger, San Diego CA ,,NA,32.9021234,-117.1935467,establishment
184,184,California,San Diego CA - La Jolla Tesla Supercharger, San Diego CA ,,NA,32.9021234,-117.1935467,establishment
185,185,California,San Dimas CA Tesla Supercharger, San Dimas CA ,,NA,34.0842517,-117.2990516,establishment
186,186,California,San Francisco CA Tesla Supercharger, San Francisco CA ,,NA,37.5446839,-122.2901514,establishment
187,187,California,San Francisco CA - Financial District Tesla Supercharger, San Francisco CA ,,NA,NA,NA,NA
188,188,California,San Francisco CA - Mission Tesla Supercharger, San Francisco CA ,,NA,37.7845639,-122.4214566,car_dealer
189,189,California,San Francisco CA - SOMA Tesla Supercharger, San Francisco CA ,,NA,NA,NA,NA
190,190,California,San Jose (South) CA Tesla Supercharger, San Jose CA ,,NA,37.4153149,-122.076656,establishment
191,191,California,San Jose CA Tesla Supercharger, San Jose CA ,,NA,NA,NA,NA
192,192,California,San Juan Capistrano CA Supercharger, 31971 Camino Capistrano San Juan Capistrano CA 92675, Roadside Assistance: (877) 798-3752,7,NA,NA,NA
193,193,California,San Luis Obispo CA Supercharger, 100 Madonna Road San Luis Obispo CA 93405, Roadside Assistance: (877) 798-3752,10,NA,NA,NA
194,194,California,San Mateo Supercharger, 1200 Park Place San Mateo CA 94403, Roadside Assistance: (877) 798-3752,8,37.5582362,-122.2844162,establishment
195,195,California,San Mateo CA Tesla Supercharger, San Mateo CA ,,NA,NA,NA,NA
196,196,California,San Mateo CA - Bridgepointe Pkwy Supercharger, 2220 Bridgepointe Pkwy San Mateo CA 94404-1569, Roadside Assistance: (877) 798-3752,12,37.5582362,-122.2844162,establishment
197,197,California,San Rafael CA Tesla Supercharger, San Rafael CA ,,NA,38.0159848,-122.5337267,establishment
198,198,California,San Ramon CA Tesla Supercharger, San Ramon CA ,,NA,37.7028478,-121.9250813,car_dealer
199,199,California,San Ysidro CA Tesla Supercharger, San Ysidro CA ,,NA,NA,NA,NA
200,200,California,Santa Ana Supercharger, 2800 N. Main Street Santa Ana CA 92705-6607, Roadside Assistance: (877) 798-3752,12,33.7758614,-117.8719813,establishment
201,201,California,Santa Barbara CA Tesla Supercharger, Santa Barbara CA ,,NA,NA,NA,NA
202,202,California,Santa Clara CA Tesla Supercharger, Santa Clara CA ,,NA,37.324403,-122.008772,establishment
203,203,California,Santa Clarita CA Supercharger, 24061 Newhall Ranch Road Valencia CA 91355, Roadside Assistance: (877) 798-3752,24,34.4310433,-118.5543392,establishment
204,204,California,Santa Cruz CA Tesla Supercharger, Santa Cruz CA ,,NA,37.0244042,-121.5653015,establishment
205,205,California,Santa Monica CA Tesla Supercharger, Santa Monica CA ,,NA,34.0179279,-118.4982739,car_dealer
206,206,California,Santa Rosa CA Tesla Supercharger, Santa Rosa CA ,,NA,38.4895676,-122.4528599,establishment
207,207,California,Sherman Oaks CA Tesla Supercharger, Sherman Oaks CA ,,NA,34.1583788,-118.8236239,establishment
208,208,California,Simi Valley CA Tesla Supercharger, Simi Valley CA ,,NA,33.7027789,-117.9341991,establishment
209,209,California,Sonoma CA Tesla Supercharger, Sonoma CA ,,NA,38.3644173,-121.9562679,establishment
210,210,California,Sonora CA Tesla Supercharger, Sonora CA ,,NA,37.8387456,-120.2318111,establishment
211,211,California,South San Francisco CA Tesla Supercharger, South San Francisco CA ,,NA,37.5446839,-122.2901514,establishment
212,212,California,Stockton CA Tesla Supercharger, Stockton CA ,,NA,37.782622,-121.2286793,establishment
213,213,California,Studio City CA Tesla Supercharger, Studio City CA ,,10,34.1749003,-118.301285,car_repair
214,214,California,Sunnyvale CA - W. McKinley Ave Supercharger, 298 W. McKinley Ave Sunnyvale 94086-6193, Roadside Assistance: (877) 798-3752,NA,37.3731546,-122.0327509,establishment
215,215,California,Susanville CA Tesla Supercharger, Susanville CA ,,NA,40.4162842,-120.6530063,locality
216,216,California,Tejon Ranch Supercharger, 5602 Dennis McCarthy Dr Lebec CA 93243, Roadside Assistance: (877) 798-3752,8,34.9871993,-118.946181,establishment
217,217,California,Temecula Supercharger, 40820 Winchester Rd. Temecula CA 92591, Roadside Assistance: (877) 798-3752,10,NA,NA,NA
218,218,California,Thousand Oaks CA - East Thousand Oaks Boulevard Supercharger, 4000 East Thousand Oaks Boulevard Thousand Oaks 91362, Roadside Assistance: (877) 798-3752,24,NA,NA,NA
219,219,California,Truckee Brockway Road Supercharger, 11209 Brockway Road Truckee CA 96161, Roadside Assistance: (877) 798-3752,8,39.3218493,-120.1621572,establishment
